Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011]
Qatar,QAT,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,1088.538909
"Macao SAR, China",MAC,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,857.6397268
Luxembourg,LUX,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,658.7525158
Kuwait,KWT,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,624.4889647
Brunei Darussalam,BRN,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,552.7109502
Singapore,SGP,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,537.1041507
Norway,NOR,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,459.7149847
United Arab Emirates,ARE,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,452.3389093
Bermuda,BMU,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,407.8557291
Switzerland,CHE,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,383.2171819
Guinea,GIN,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,9.560798484
Ethiopia,ETH,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,9.020109848
Malawi,MWI,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,7.225984794
Mozambique,MOZ,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,7.064241597
Central African Republic,CAF,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,6.663767898
Niger,NER,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,6.326934825
Burundi,BDI,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,5.290443991
"Congo, Dem. Rep.",COD,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,4.862993273
Comoros,COM,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,4.530346567
Liberia,LBR,01. Gross domestic product,C01,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,3.992936803
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
