Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011]
Bermuda,BMU,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,438.5966453
United States,USA,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,432.4167156
Cayman Islands,CYM,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,393.4485437
"Hong Kong SAR, China",HKG,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,378.0646791
Luxembourg,LUX,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,370.0781125
Norway,NOR,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,358.6766821
Switzerland,CHE,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,340.7614529
United Arab Emirates,ARE,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,340.7387088
Germany,DEU,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,329.3502097
Austria,AUT,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,320.0831961
Burkina Faso,BFA,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,11.01674986
Guinea-Bissau,GNB,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,10.7277066
Mozambique,MOZ,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,10.28804352
Central African Republic,CAF,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,10.05374389
Guinea,GIN,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,9.119657731
Niger,NER,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,8.319654963
Burundi,BDI,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,7.498103653
Comoros,COM,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,7.187119393
Liberia,LBR,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,7.004601384
"Congo, Dem. Rep.",COD,02. Actual individual consumption,C02,INDEX OF REAL EXPENDITURES PER CAPITA (World=100),S07,5.165074546
