Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],Region 
Albania,ALB,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,9962.573476,Eurostat-OECD
Albania,ALB,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,57.81795821,Eurostat-OECD
Albania,ALB,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,8115.911531,Eurostat-OECD
Albania,ALB,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,58.55245429,Eurostat-OECD
Algeria,DZA,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,13195.01617,AFRICA
Algeria,DZA,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,53.9264175,AFRICA
Algeria,DZA,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,6270.190585,AFRICA
Algeria,DZA,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,49.35611368,AFRICA
Angola,AGO,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,7288.009299,AFRICA
Angola,AGO,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,93.97606144,AFRICA
Angola,AGO,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,4319.077831,AFRICA
Angola,AGO,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,93.04730108,AFRICA
Anguilla,AIA,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,27274.20714,LATIN AMERICA AND CARIBBEAN
Anguilla,AIA,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,99.20213469,LATIN AMERICA AND CARIBBEAN
Anguilla,AIA,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,21118.72566,LATIN AMERICA AND CARIBBEAN
Anguilla,AIA,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,108.4889791,LATIN AMERICA AND CARIBBEAN
Antigua and Barbuda,ATG,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,20540.40191,CARIBBEAN
Antigua and Barbuda,ATG,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,82.6944871,CARIBBEAN
Antigua and Barbuda,ATG,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,12549.45263,CARIBBEAN
Antigua and Barbuda,ATG,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,89.15195112,CARIBBEAN
Armenia,ARM,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,6696.056732,COMMONWEALTH OF INDEPENDENT STATES
Armenia,ARM,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,64.76865305,COMMONWEALTH OF INDEPENDENT STATES
Armenia,ARM,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,7303.675192,COMMONWEALTH OF INDEPENDENT STATES
Armenia,ARM,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,50.99480055,COMMONWEALTH OF INDEPENDENT STATES
Aruba,ABW,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,36016.66882, The CARIBBEAN
Aruba,ABW,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,90.7795298, The CARIBBEAN
Aruba,ABW,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,23999.98566, The CARIBBEAN
Aruba,ABW,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,102.9227137, The CARIBBEAN
Australia,AUS,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,42000.44049,Eurostat-OECD
Australia,AUS,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,200.9913853,Eurostat-OECD
Australia,AUS,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,27089.34537,Eurostat-OECD
Australia,AUS,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,193.5219236,Eurostat-OECD
Austria,AUT,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,42978.10953,Eurostat-OECD
Austria,AUT,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,148.7903255,Eurostat-OECD
Austria,AUT,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,27676.67668,Eurostat-OECD
Austria,AUT,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,147.2914794,Eurostat-OECD
Azerbaijan,AZE,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,15962.92237,COMMONWEALTH OF INDEPENDENT STATES
Azerbaijan,AZE,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,58.84974008,COMMONWEALTH OF INDEPENDENT STATES
Azerbaijan,AZE,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,8365.728377,COMMONWEALTH OF INDEPENDENT STATES
